datetime,EE,FWHM_geom,RMS,STD,cx_std,cy_std,jx_std,jy_std,loop_rate,date_obs
2025-10-01 19:38:30,,,0.0009160584493173193,0.0025442914699736444,0.0,1.4210854715202004e-14,0.0,0.0,0.0010027885437011719,2025-10-01_19-38-30
2025-10-01 19:38:56,,,0.000284426775026159,0.0006090658750319452,1.4210854715202004e-14,1.4210854715202004e-14,0.01370296323379616,0.008034370516454059,0.001001119613647461,2025-10-01_19-38-56
2025-10-01 19:42:19,,,0.0004306133049314657,0.0015617140131121952,1.4210854715202004e-14,0.0,0.005702239092871853,0.008341700369823847,0.0019974708557128906,2025-10-01_19-42-19
2025-10-01 19:43:27,,,0.00033097632072063573,0.0007756292833404528,1.4210854715202004e-14,0.0,0.007731422726350049,0.003712715154263698,0.0009996891021728516,2025-10-01_19-43-27
2025-10-01 22:18:53,0.3074713809047764,4.405903970732992,0.00873310857799842,0.008442864321946833,0.6151471380811105,1.0659185935038111,0.7750890342192708,0.5695984538151911,0.0010008811950683594,2025-10-01_22-18-53
2025-10-01 22:19:12,0.43307705270604696,3.4599585242425586,0.006103058757505472,0.0062555033477585936,0.12125097703944535,0.3364140379101269,0.7325573480552791,1.005691052499944,0.001001596450805664,2025-10-01_22-19-12
2025-10-01 22:34:18,0.33004589267552886,4.214016159967994,0.004253971252377426,0.01310849186758455,0.11394818825302884,0.12809762523308446,0.0,0.0,0.0010006427764892578,2025-10-01_22-34-18
2025-10-01 22:34:38,0.40677839638366287,2.0329068002255997,0.00044503818806135753,0.0010356481568962112,0.014100529321560834,0.007532148397793572,0.015078510792948802,0.013910276219589091,0.0010013580322265625,2025-10-01_22-34-38
2025-10-01 22:51:53,0.051809396910902666,9.44393141425388,0.01255788465589035,0.012483120151642515,0.025626648065788755,0.014341950605666773,0.7428237580541874,0.7254763175189721,0.0010118484497070312,2025-10-01_22-51-53
2025-10-01 22:52:11,0.4498250525890422,2.1700251762379557,0.004094214374457595,0.012712308019645522,0.02428136451757948,0.1178038739980674,0.8033005945192452,1.0284184160530914,0.0019996166229248047,2025-10-01_22-52-11
2025-10-01 23:03:12,0.4498250525890422,2.1700251762379557,0.00789781689337316,0.006408534921596083,0.02428136451757948,0.1178038739980674,0.556834793393986,1.5631762439408785,0.0010006427764892578,2025-10-01_23-03-12
2025-10-01 23:03:26,0.3621733642547241,2.756977739365724,0.0020754233370247834,0.004679259051007738,0.02711692673021466,0.08661830211002797,1.8415244110183666,1.280129321432534,0.0019974708557128906,2025-10-01_23-03-26
2025-10-01 23:11:50,0.07751425445875612,7.391335946779527,0.019168069692732055,0.020652926037267802,0.036578190037181164,0.02188405307624185,0.629120144013241,0.8125153620119718,0.0010001659393310547,2025-10-01_23-11-50
2025-10-01 23:12:00,0.05711269954572945,11.687570789085376,0.003208171207335771,0.009310553159235865,0.0289069779429498,0.027248122066880567,0.9024951092263006,0.5432336364871359,0.0019979476928710938,2025-10-01_23-12-00
2025-10-01 23:15:44,0.2181851013764694,4.151700876665427,0.016025399384478087,0.012148878595102925,0.015964015061367725,0.0183432381448751,1.0637451935399003,0.5433212262331976,0.0010001659393310547,2025-10-01_23-15-44
2025-10-01 23:16:01,0.10254149178159216,7.029328076953733,0.0022238102676845092,0.0038247035382216596,0.028904388638293897,0.030522070109667614,0.6482599699252002,1.2671400786880662,0.0019981861114501953,2025-10-01_23-16-01
2025-10-01 23:41:06,0.13223450566421496,5.102327614974887,0.015006074894329412,0.011416043948175088,0.008310408522907008,0.01359688458154876,1.3235896292632234,0.5831983028869507,0.0010006427764892578,2025-10-01_23-41-06
2025-10-01 23:41:37,0.007736063074372649,17.049271212693082,0.0017343129026430476,0.003634383943500116,0.00805326533265487,0.012306592022407926,0.28967465393354896,0.14488993728776037,0.0019998550415039062,2025-10-01_23-41-37
2025-10-02 00:13:29,0.1376138720923092,3.3210589891141833,0.002404784674531378,0.0049650190888757455,0.040741038615123536,0.014324662751390488,0.0,0.0,0.0010128021240234375,2025-10-02_00-13-29
2025-10-02 00:16:59,0.07416436238945662,11.120109831985793,0.006463753314134908,0.0037821483439044205,0.30592079225211377,0.25945715054044294,0.46015853832312925,0.31840703802265596,0.001016855239868164,2025-10-02_00-16-59
2025-10-02 00:17:14,0.04927235561631926,13.732900593934906,0.008693334322450426,0.008236102507758821,0.32470103722680793,0.23688885267507384,0.4802670432845767,0.4116399883361759,0.0020003318786621094,2025-10-02_00-17-14
2025-10-02 00:20:12,0.04023949014647882,15.464660294680552,0.01359883298901144,0.01822653087395186,2.5267476893320686,1.886343652284084,0.0,0.0,0.0010111331939697266,2025-10-02_00-20-12
2025-10-02 01:20:45,0.21712356120501852,4.935397024669112,0.017381540349070693,0.020427650610871855,0.03931478554021021,0.199956380486197,0.4062682156853096,0.399310009526801,0.002001047134399414,2025-10-02_01-20-45
2025-10-02 01:22:02,0.4170537512280815,3.0441699416771186,0.008083739612618806,0.0058692314470444144,0.21690107405427275,1.3934498191566747,0.7626864280525876,0.6151755980114721,0.0019998550415039062,2025-10-02_01-22-02
2025-10-02 01:22:31,0.3175582695295631,4.09584048820896,0.014080621451116965,0.011187615679423984,0.041660570249606246,0.2374582752208454,0.5309866455926259,0.29102553146129523,0.002000570297241211,2025-10-02_01-22-31
2025-10-02 02:27:34,0.5147909475042654,2.190003221339117,0.007026810113113914,0.005313896291012125,0.3871030373047948,2.4128559265583136,0.759505471219045,0.36857761429065744,0.0010004043579101562,2025-10-02_02-27-34
