folder_date,control_mode,gain,n_modes_controlled,record_time,pyramid,rms
2025-10-01_19-38-30,int,0.20000000298023224,195,5.0,3 sided,0.0014259535225155287
2025-10-01_19-38-56,int,0.20000000298023224,195,5.0,3 sided,8.811266694364022e-05
2025-10-01_19-42-19,int,0.20000000298023224,195,1.0,4 sided,0.0005117538030413245
2025-10-01_19-43-27,int,0.20000000298023224,195,1.0,3 sided,0.00013867349146033385
2025-10-01_22-18-53,int,0.20000000298023224,195,5.0,3 sided,0.02877208296181275
2025-10-01_22-19-12,dd,,195,5.0,3 sided,0.01489383642461962
2025-10-01_22-34-18,int,0.30000001192092896,195,5.0,3 sided,0.03703612193942358
2025-10-01_22-34-38,int,0.30000001192092896,195,5.0,3 sided,0.000247772088274513
2025-10-01_22-51-53,int,0.800000011920929,80,5.0,3 sided,0.06113810737144256
2025-10-01_23-03-12,int,0.800000011920929,150,5.0,3 sided,0.020171742146900446
2025-10-01_23-03-26,int,0.800000011920929,150,5.0,4 sided,0.005109555222389445
2025-10-01_23-11-50,int,0.5,100,5.0,3 sided,0.15482185868102577
2025-10-01_23-12-00,int,0.5,100,5.0,4 sided,0.0189108587121743
2025-10-01_23-15-44,int,0.800000011920929,100,5.0,3 sided,0.07885969192736275
2025-10-01_23-16-01,int,0.800000011920929,100,5.0,4 sided,0.0038168694060791105
2025-10-01_23-41-06,int,0.5,100,5.0,3 sided,0.06932412691637271
2025-10-01_23-41-37,int,0.5,100,5.0,4 sided,0.003162234639143854
2025-10-02_00-13-29,int,0.20000000298023224,195,5.0,3 sided,0.005934708757333488
2025-10-02_00-16-59,int,0.20000000298023224,100,5.0,3 sided,0.010936526835251342
2025-10-02_00-17-14,int,0.20000000298023224,100,5.0,4 sided,0.027964452001240078
2025-10-02_00-20-12,int,0.20000000298023224,195,5.0,3 sided,0.10084126384061833
2025-10-02_01-20-45,int,0.20000000298023224,86,5.0,3 sided,0.1402843366053138
2025-10-02_01-22-02,int,0.800000011920929,150,5.0,4 sided,0.019459971161201482
2025-10-02_01-22-31,int,0.5,80,5.0,3 sided,0.06306819578282892
2025-10-02_02-27-34,omgi,,100,5.0,3 sided,0.01513464306069152
2025-10-02_02-27-46,omgi,,100,5.0,4 sided,0.08804642072472194
2025-10-02_02-32-30,int,0.30000001192092896,100,5.0,3 sided,0.14679182613190742
2025-10-02_02-32-36,int,0.30000001192092896,100,5.0,3 sided,0.05045609465393081
2025-10-02_02-32-58,int,0.30000001192092896,100,5.0,4 sided,0.4940740597835539
2025-10-02_02-33-47,int,0.30000001192092896,195,5.0,3 sided,0.011916028491036382
2025-10-02_02-34-00,int,0.30000001192092896,195,5.0,4 sided,0.04527719863284915
2025-10-02_02-34-14,int,0.30000001192092896,195,5.0,4 sided,3.8178116647064773
2025-10-02_02-36-37,int,0.699999988079071,170,5.0,3 sided,0.006667295526886576
2025-10-02_02-36-51,int,0.699999988079071,170,5.0,4 sided,0.02102963435680112
2025-10-02_02-37-57,int,0.699999988079071,170,5.0,3 sided,0.009201948172412508
2025-10-02_02-38-21,int,0.699999988079071,170,5.0,4 sided,0.021961556984999714
2025-10-02_02-40-53,int,0.4000000059604645,170,5.0,3 sided,0.012531208115638836
2025-10-02_02-41-02,dd,,170,5.0,3 sided,0.012300769036085046
2025-10-02_02-41-14,int,0.4000000059604645,170,5.0,3 sided,0.025453167565388662
2025-10-02_02-42-16,dd,,170,5.0,3 sided,0.07604509904003265
2025-10-02_02-44-17,dd,,170,5.0,3 sided,0.010811676187647189
2025-10-02_02-44-30,int,0.4000000059604645,170,5.0,3 sided,0.018022479231868536
2025-10-02_02-45-43,int,0.4000000059604645,170,5.0,4 sided,0.031487194406925684
2025-10-02_02-47-19,dd,,170,5.0,4 sided,0.09907186240954785
2025-10-02_02-47-28,int,0.4000000059604645,170,5.0,4 sided,0.0417556932345729
2025-10-02_02-48-21,dd,,170,5.0,4 sided,0.011183505169111955
2025-10-02_02-48-31,int,0.4000000059604645,170,5.0,4 sided,0.020228979900640497
2025-10-02_02-49-11,int,0.4000000059604645,170,5.0,3 sided,0.007081810693856303
2025-10-02_02-49-24,dd,,170,5.0,3 sided,0.022124773018485446
2025-10-02_02-53-35,int,0.4000000059604645,170,5.0,3 sided,0.015921934945325893
2025-10-02_02-53-50,dd,,170,5.0,3 sided,0.0333340098563958
2025-10-02_02-56-22,int,0.4000000059604645,170,5.0,3 sided,0.03318430707541468
2025-10-02_02-56-35,dd,,170,5.0,3 sided,0.047149496906663396
2025-10-02_02-57-54,int,0.4000000059604645,170,5.0,3 sided,0.011531056349762765
2025-10-02_02-58-05,dd,,170,5.0,3 sided,0.016891509416789324
2025-10-02_02-58-41,int,0.4000000059604645,170,5.0,3 sided,0.014869249754946873
2025-10-02_02-58-53,dd,,170,5.0,3 sided,0.0075730703608918575
2025-10-02_03-01-08,dd,,170,5.0,3 sided,0.018809826779681738
2025-10-02_03-01-18,dd,,170,5.0,3 sided,0.01669177604900704
2025-10-02_03-01-30,int,0.4000000059604645,170,5.0,3 sided,0.017279907092852292
2025-10-02_03-02-21,dd,,170,5.0,3 sided,0.014367339905467503
2025-10-02_03-02-33,int,0.4000000059604645,170,5.0,3 sided,0.012207907424413895
2025-10-02_03-04-26,dd,,170,5.0,3 sided,0.02229215322337073
2025-10-02_03-04-37,int,0.4000000059604645,170,5.0,3 sided,0.033767652264659324
2025-10-02_03-10-56,int,0.4000000059604645,170,5.0,3 sided,0.00817236236947883
2025-10-02_03-11-10,int,0.4000000059604645,170,5.0,4 sided,0.05024616562562061
