folder_date,control_mode,gain,n_modes_controlled,record_time,pyramid,rms
2025-10-02_21-35-42,int,0.20000000298023224,195,5.0,3 sided,0.0012774793360338743
2025-10-02_21-35-51,int,0.20000000298023224,195,5.0,3 sided,2.3928629993980288e-05
2025-10-02_23-54-43,int,0.20000000298023224,195,5.0,3 sided,0.0014712388413545558
2025-10-02_23-54-53,int,0.20000000298023224,195,5.0,3 sided,6.570501772169485e-05
2025-10-02_23-56-24,int,0.5,195,5.0,3 sided,0.07251260613341184
2025-10-02_23-57-00,int,0.4000000059604645,195,5.0,3 sided,0.004707126747537951
2025-10-02_23-57-51,int,0.5,195,5.0,4 sided,0.033809166857822516
2025-10-02_23-58-28,int,0.5,195,5.0,3 sided,0.08157239922015995
2025-10-02_23-59-23,int,0.4000000059604645,195,5.0,3 sided,0.011840072903108692
2025-10-02_23-59-56,int,0.5,195,5.0,4 sided,0.04427691952791372
2025-10-03_00-00-26,int,0.5,195,5.0,3 sided,0.08005596645116056
2025-10-03_00-00-52,int,0.5,195,5.0,3 sided,0.020002136858941925
2025-10-03_00-01-07,int,0.6000000238418579,195,5.0,4 sided,0.0731226542903245
2025-10-03_00-01-48,int,0.6000000238418579,195,5.0,3 sided,0.08222116574776817
2025-10-03_00-02-29,int,0.5,195,5.0,3 sided,0.028805077828810175
2025-10-03_00-02-44,int,0.5,195,5.0,4 sided,0.06196372098446586
2025-10-03_00-23-57,int,0.4000000059604645,195,5.0,3 sided,0.031028317991336735
2025-10-03_00-24-16,int,0.4000000059604645,195,5.0,4 sided,0.02441021160594504
2025-10-03_00-25-16,int,0.4000000059604645,195,5.0,3 sided,0.15953671362901115
2025-10-03_00-46-27,int,0.5,170,5.0,3 sided,0.149218257780288
2025-10-03_00-46-36,int,0.5,170,5.0,3 sided,0.018338644371372965
2025-10-03_00-46-45,int,0.5,170,5.0,4 sided,0.01725311723030806
2025-10-03_00-48-14,int,0.5,175,5.0,3 sided,0.0104439613521551
2025-10-03_00-48-46,int,0.5,175,5.0,4 sided,0.018529262502669088
2025-10-03_00-55-22,int,0.5,161,5.0,3 sided,0.05048124707681938
2025-10-03_00-55-47,dd,,161,5.0,3 sided,0.026476202091464167
2025-10-03_00-55-57,int,0.5,161,5.0,3 sided,0.033209941983335704
2025-10-03_00-57-40,dd,,175,5.0,3 sided,0.011783760561630881
2025-10-03_00-57-49,int,0.5,175,5.0,3 sided,0.01323428023333456
2025-10-03_00-58-12,int,0.5,175,5.0,3 sided,0.010975646782825603
2025-10-03_00-58-23,dd,,175,5.0,3 sided,0.020738193762643884
2025-10-03_01-00-15,int,0.5,175,5.0,3 sided,0.015916855629797503
2025-10-03_01-00-24,dd,,175,5.0,3 sided,0.014607484814936443
2025-10-03_01-00-33,int,0.5,175,5.0,3 sided,0.013950851920074638
2025-10-03_01-00-43,dd,,175,5.0,3 sided,0.01952202705959922
2025-10-03_01-05-39,int,0.4000000059604645,175,5.0,4 sided,0.0058282141899687456
2025-10-03_01-13-46,dd,,175,5.0,4 sided,0.1097464528144933
2025-10-03_01-14-26,int,0.4000000059604645,175,5.0,4 sided,0.3669226284291279
2025-10-03_01-15-14,int,0.4000000059604645,175,5.0,4 sided,0.07906132456423796
2025-10-03_01-17-25,int,0.4000000059604645,175,5.0,3 sided,0.033238275505086616
