date_obs,pyramid,EE,FWHM_geom,RMS,STD,cx_std,cy_std,jx_std,jy_std,loop_rate
2025-10-02_02-27-34,3s,0.5147909475042654,2.189980654616916,0.008743238913821082,0.0010813544530990519,0.7993169887691657,0.5815762649038014,0.759505471219045,0.36857761429065744,0.0010004043579101562
2025-10-02_02-27-46,4s,0.3941039833064439,2.941400388522675,0.02022989552286351,0.006501648515157696,0.22962053762629273,0.57840999035598,1.755058320651162,0.7375548577054101,0.001996278762817383
2025-10-02_02-32-36,3s,0.39260602763125363,2.2595765516965467,0.01599260278063542,0.0017279640199678932,0.4387805011305508,0.33136603121142344,0.2626794623817687,0.6605788674662894,0.0010693073272705078
2025-10-02_02-32-58,4s,0.29336050660257457,4.130630824230081,0.04657670206585536,0.019087271983279676,0.3806077648089753,0.8500564219198276,3.488640703645893,1.3829238282696616,0.0019965171813964844
2025-10-02_02-33-47,3s,0.6970597409277671,1.9054277537121314,0.0076609339880663666,0.0015549690820272734,0.37253059437475866,0.34246443607149013,0.49734319434992574,0.40235042181049724,0.0010004043579101562
2025-10-02_02-34-00,4s,0.43283802314888403,2.305121422131669,0.014821763998236951,0.00353639282324605,0.18741979570261735,0.3477651676344446,1.1453724339577265,0.6087129041454714,0.001999378204345703
2025-10-02_02-36-37,3s,0.5680334922248262,2.6026031881019653,0.005739107760531006,0.0011197773105629705,0.17218763961432906,0.1770396310180835,0.559694907146213,0.8025845465694316,0.002001047134399414
2025-10-02_02-36-51,4s,0.42514267562457925,2.9243596048001823,0.010233915975550624,0.0017638714687289328,0.08326734630621958,0.14615450710672806,0.4768195212590543,0.3297350862219895,0.0019979476928710938
2025-10-02_02-37-57,3s,0.6075507024207333,1.8951732225304392,0.006765713658154519,0.0011893681108492125,0.5845556224712527,0.44548541054652835,0.7720227295147245,0.31744757849100413,0.0020008087158203125
2025-10-02_02-38-21,4s,0.388058734878145,3.1742202009249194,0.01039133644766901,0.0021548772552491824,0.13934811597079347,0.18643338265122827,1.2689505649120103,0.531858766043838,0.0019979476928710938
2025-10-02_03-10-56,3s,0.6082387203622401,1.9023716380544582,0.006294051852234679,0.0015147481289287488,0.3328662100306985,0.20763897168580067,0.5719656178085347,0.9172496747852223,0.0010004043579101562
2025-10-02_03-11-10,4s,0.3355212184370233,4.1616118604002645,0.014250222426293481,0.0073894387496693005,0.5286790126887634,0.6054557420760728,3.354782259815758,1.753064272823019,0.0019965171813964844
2025-10-02_03-12-37,3s,0.6308365608625845,2.1361336171892042,0.005382944194857594,0.0009569162989759652,0.14208163941148994,0.33690145887925516,0.7838567191818095,0.6213806675548401,0.0010001659393310547
2025-10-02_03-13-19,4s,0.3384289855125563,3.862428361127085,0.011926193634737695,0.005208548809836818,0.5000529095586805,0.40921238963197704,2.8057195012138365,1.6734300809077733,0.0019981861114501953
2025-10-02_03-27-19,3s,0.6887430160093314,2.112901561452198,0.006600174057053492,0.0012340161849116362,0.34110748783520445,0.4025344079605031,1.1230776720357014,0.593135705164778,0.0010001659393310547
2025-10-02_03-30-43,4s,0.3407926579181694,3.94032752020668,0.01774524736135906,0.0073289733767404235,0.28941289220235705,0.3223769889573842,1.46595180265328,2.2380765875756454,0.0019989013671875
2025-10-03_00-46-36,3s,0.5103331424218744,2.6074444565609505,0.009622024269121593,0.0012087096731804672,0.02724170255240048,0.029762936010997082,0.7253588739735538,0.5809706905867219,0.0010046958923339844
2025-10-03_00-46-45,4s,0.19653773445742567,4.826619614009443,0.009065897619645633,0.002507393987408778,0.020676520423164833,0.024657089300562693,0.5819806057725841,0.592999634311217,0.0022814273834228516
2025-10-03_00-48-14,3s,0.4710820480695727,2.9510240654040785,0.007260069545056993,0.0009220446658562148,0.15927228078731454,0.19378704479927664,0.41242636373958225,0.3989111945015827,0.001009225845336914
2025-10-03_00-48-46,4s,0.5541250893943453,2.129145665555359,0.00929386469739054,0.002940397587851765,0.024833522898834334,0.04498464180234977,0.42463046956722034,0.47382894458645103,0.0021331310272216797
